dir,object,section,size_hex,size_dec
ex5,eventflag.o,.comment,0x00000034,52
ex5,eventflag.o,.debug_frame,0x00000144,324
ex5,eventflag.o,.ARM.attributes,0x00000033,51
ex5,dataqueue.o,.text,0x00001204,4612
ex5,dataqueue.o,.data,0x00000000,0
ex5,dataqueue.o,.bss,0x00000000,0
ex5,dataqueue.o,.rodata.str1.4,0x0000002f,47
ex5,dataqueue.o,.debug_info,0x000046c9,18121
ex5,dataqueue.o,.debug_abbrev,0x000004f4,1268
ex5,dataqueue.o,.debug_loc,0x00002bef,11247
ex5,dataqueue.o,.debug_aranges,0x00000020,32
ex5,dataqueue.o,.debug_ranges,0x000008a0,2208
ex5,dataqueue.o,.debug_line,0x00002add,10973
ex5,dataqueue.o,.debug_str,0x00000c88,3208
ex5,dataqueue.o,.comment,0x00000034,52
ex5,dataqueue.o,.debug_frame,0x00000224,548
ex5,dataqueue.o,.ARM.attributes,0x00000033,51
ex5,pridataq.o,.text,0x000010b4,4276
ex5,pridataq.o,.data,0x00000000,0
ex5,pridataq.o,.bss,0x00000000,0
ex5,pridataq.o,.rodata.str1.4,0x0000002f,47
ex5,pridataq.o,.debug_info,0x0000411a,16666
ex5,pridataq.o,.debug_abbrev,0x000004e2,1250
ex5,pridataq.o,.debug_loc,0x000027f4,10228
ex5,pridataq.o,.debug_aranges,0x00000020,32
ex5,pridataq.o,.debug_ranges,0x000007b0,1968
ex5,pridataq.o,.debug_line,0x00002649,9801
ex5,pridataq.o,.debug_str,0x00000c76,3190
ex5,pridataq.o,.comment,0x00000034,52
ex5,pridataq.o,.debug_frame,0x000001e0,480
ex5,pridataq.o,.ARM.attributes,0x00000033,51
ex5,mutex.o,.text,0x00000d70,3440
ex5,mutex.o,.data,0x00000000,0
ex5,mutex.o,.bss,0x00000000,0
ex5,mutex.o,.rodata.str1.4,0x00000060,96
ex5,mutex.o,.debug_info,0x000030f8,12536
ex5,mutex.o,.debug_abbrev,0x000004fc,1276
ex5,mutex.o,.debug_loc,0x00001c45,7237
ex5,mutex.o,.debug_aranges,0x00000020,32
ex5,mutex.o,.debug_ranges,0x00000578,1400
ex5,mutex.o,.debug_line,0x00001cfa,7418
ex5,mutex.o,.debug_str,0x00000c66,3174
ex5,mutex.o,.comment,0x00000034,52
ex5,mutex.o,.debug_frame,0x00000198,408
ex5,mutex.o,.ARM.attributes,0x00000033,51
ex5,mempfix.o,.text,0x0000098c,2444
ex5,mempfix.o,.data,0x00000000,0
ex5,mempfix.o,.bss,0x00000000,0
ex5,mempfix.o,.rodata.str1.4,0x0000002f,47
ex5,mempfix.o,.debug_info,0x00002ba7,11175
ex5,mempfix.o,.debug_abbrev,0x00000499,1177
ex5,mempfix.o,.debug_loc,0x000015ee,5614
ex5,mempfix.o,.debug_aranges,0x00000020,32
ex5,mempfix.o,.debug_ranges,0x00000498,1176
ex5,mempfix.o,.debug_line,0x00001825,6181
